Date,Chain,Postcode,Category,Total Units,Total cost per unit,Prices,,
01/04/2016,Nike,6330,Equipment,555,4.65,2.21,,
01/04/2016,Nike,2560,Womens,248,8.86,3.38,,
01/04/2016,Nike,2015,Home,707,5.37,3.45,,
01/04/2016,Adidas,2064,Mens,308,8.08,3.66,,
01/04/2016,Nike,2560,Accessories,757,2.92,1.11,,
01/04/2016,Nike,2617,Womens,425,6.73,3.51,,
01/04/2016,Nike,3551,Shoes,177,21.25,13.51,,
01/04/2016,Adidas,7250,Juniors,415,7.02,3.72,,
01/04/2016,Nike,2154,Hosiery,672,3.87,1.82,,
01/04/2016,Nike,2067,Womens,349,6.88,2.94,,
01/04/2016,Nike,4551,Kids,581,5.56,3.18,,
01/04/2016,Nike,3066,Shoes,93,39.22,24.33,,
01/04/2016,Nike,6330,Shoes,421,6.29,2.99,,
01/04/2016,Adidas,4740,Juniors,300,9.03,4.40,,
01/04/2016,Nike,2560,Kids,587,4.85,2.48,,
01/04/2016,Adidas,7250,Mens,362,7.64,3.76,,
01/04/2016,Nike,2800,Kids,386,7.88,4.24,,
01/04/2016,Adidas,4220,Mens,334,8.05,3.84,,
01/04/2016,Adidas,5290,Juniors,430,6.40,3.12,,
01/04/2016,Nike,2830,Home,587,5.81,3.41,,
01/04/2016,Nike,2116,Home,769,4.33,2.49,,
01/04/2016,Nike,2560,Equipment,539,4.96,2.33,,
01/04/2016,Nike,2015,Home,1174,4.13,2.92,,
01/04/2016,Nike,2154,Equipment,550,4.83,2.24,,
01/04/2016,Adidas,2064,Womens,314,8.42,3.87,,
01/04/2016,Nike,2154,Kids,665,5.64,3.49,,
01/04/2016,Adidas,3690,Mens,355,8.32,4.28,,
01/04/2016,Nike,2560,Shoes,87,40.29,23.73,,
01/04/2016,Nike,2795,Womens,264,8.29,2.83,,
01/04/2016,Nike,2067,Home,847,4.73,3.03,,
01/04/2016,Nike,2830,Mens,485,6.40,3.39,,
01/04/2016,Nike,2031,Shoes,224,18.30,11.76,,
01/04/2016,Nike,2154,Home,1030,4.64,3.22,,
01/04/2016,Adidas,4012,Juniors,410,7.25,3.67,,
01/04/2016,Nike,2795,Shoes,217,18.32,11.55,,
01/04/2016,Nike,6330,Womens,302,9.80,4.93,,
01/04/2016,Adidas,2158,Mens,352,8.25,4.05,,
01/04/2016,Nike,2067,Kids,630,5.72,3.37,,
01/04/2016,Nike,4053,Home,669,5.37,3.15,,
01/04/2016,Nike,4119,Shoes,224,17.37,10.73,,
01/04/2016,Nike,4119,Home,1127,4.15,2.83,,
01/04/2016,Nike,3018,Kids,385,8.57,4.68,,
01/04/2016,Nike,2541,Home,1078,3.44,2.05,,
01/04/2016,Nike,3353,Home,1260,3.65,2.46,,
01/04/2016,Nike,3066,Home,1102,3.93,2.56,,
01/04/2016,Nike,2350,Kids,604,5.38,2.87,,
01/04/2016,Nike,4119,Kids,409,7.87,4.15,,
01/04/2016,Nike,4509,Shoes,241,17.71,11.39,,
01/04/2016,Nike,2350,Hosiery,706,4.10,1.94,,
01/04/2016,Nike,6280,Shoes,218,20.07,13.05,,
01/04/2016,Nike,2015,Kids,617,6.18,3.69,,
01/04/2016,Nike,2067,Womens,390,7.54,3.61,,
01/04/2016,Nike,3066,Shoes,353,7.94,3.58,,
01/04/2016,Nike,2480,Shoes,239,15.71,9.24,,
01/04/2016,Adidas,2131,Shoes,163,21.63,12.15,,
01/04/2016,Adidas,3280,Shoes,428,6.83,3.21,,
01/04/2016,Nike,2031,Womens,585,6.54,3.89,,
01/04/2016,Adidas,3429,Juniors,433,6.99,3.41,,
01/04/2016,Nike,3076,Mens,572,6.93,4.21,,
01/04/2016,Nike,2020,Mens,471,7.30,4.00,,
01/04/2016,Nike,6330,Kids,460,6.82,3.43,,
01/04/2016,Nike,2650,Home,1193,4.00,2.69,,
01/04/2016,Nike,6280,Kids,599,6.08,3.47,,
01/04/2016,Nike,3175,Home,1552,3.49,2.48,,
01/04/2016,Nike,2031,Mens,528,6.54,3.54,,
01/04/2016,Nike,4558,Shoes,117,38.49,24.91,,
01/04/2016,Nike,2350,Home,1178,3.98,2.63,,
01/04/2016,Nike,2067,Equipment,539,5.23,2.27,,
01/04/2016,Nike,2116,Kids,640,5.85,3.36,,
01/04/2016,Nike,4558,Kids,433,7.86,4.18,,
01/04/2016,Adidas,4703,Juniors,508,6.15,2.99,,
01/04/2016,Nike,4068,Home,1338,3.96,2.76,,
01/04/2016,Nike,2154,Home,1224,3.41,2.10,,
01/04/2016,Adidas,7320,Juniors,453,7.20,3.65,,
01/04/2016,Adidas,2485,Juniors,390,8.55,4.41,,
01/04/2016,Nike,2560,Mens,370,8.45,4.07,,
01/04/2016,Nike,2015,Home,2031,1.97,1.17,,
01/04/2016,Nike,2350,Shoes,251,18.69,12.22,,
01/04/2016,Adidas,2750,Mens,388,7.86,3.67,,
01/04/2016,Nike,2560,Womens,287,9.73,4.06,,
01/04/2016,Nike,3066,Shoes,216,18.29,10.71,,
01/04/2016,Adidas,5082,Juniors,460,7.13,3.55,,
01/04/2016,Adidas,5607,Juniors,595,5.45,2.68,,
01/04/2016,Nike,2800,Home,815,4.89,2.86,,
01/04/2016,Nike,3066,Kids,777,4.60,2.46,,
01/04/2016,Nike,3550,Shoes,304,17.44,11.97,,
01/04/2016,Nike,3175,Mens,464,6.28,2.68,,
01/04/2016,Nike,2830,Home,1343,3.17,1.93,,
01/04/2016,Nike,2015,Shoes,221,20.04,12.46,,
01/04/2016,Nike,2795,Home,1530,2.77,1.67,,
01/04/2016,Nike,2067,Home,731,5.51,3.21,,
01/04/2016,Adidas,6725,Juniors,429,7.96,4.00,,
01/04/2016,Adidas,2064,Juniors,413,8.90,4.78,,
01/04/2016,Adidas,5011,Juniors,442,7.33,3.47,,
01/04/2016,Nike,3148,Home,1140,4.95,3.45,,
01/04/2016,Adidas,3931,Juniors,561,5.89,2.85,,
01/04/2016,Nike,2650,Shoes,263,17.85,11.33,,
01/04/2016,Adidas,6109,Juniors,416,8.15,4.01,,
01/04/2016,Adidas,5011,Mens,397,8.57,4.23,,
01/04/2016,Nike,3066,Home,523,7.89,4.59,,
01/04/2016,Nike,6330,Shoes,109,42.76,26.92,,
01/04/2016,Adidas,7018,Juniors,597,5.73,2.83,,
01/04/2016,Nike,3018,Shoes,275,17.76,11.35,,
01/04/2016,Nike,3148,Kids,760,4.95,2.63,,
01/04/2016,Nike,6330,Shoes,281,16.17,9.87,,
01/04/2016,Nike,2830,Kids,718,6.08,3.59,,
01/04/2016,Nike,4551,Home,832,5.58,3.40,,
01/04/2016,Nike,3175,Kids,802,5.23,2.97,,
01/04/2016,Nike,4068,Home,633,6.96,4.10,,
01/04/2016,Adidas,4305,Juniors,488,7.88,4.14,,
01/04/2016,Nike,3018,Home,916,4.96,2.97,,
01/04/2016,Nike,3076,Juniors,486,8.16,4.39,,
01/04/2016,Nike,2800,Womens,647,6.12,3.28,,
01/04/2016,Nike,4215,Mens,542,7.25,3.86,,
01/04/2016,Nike,3353,Home,597,7.55,4.47,,
01/04/2016,Nike,2116,Home,3462,1.23,0.70,,
01/04/2016,Nike,4119,Shoes,139,36.06,22.76,,
01/04/2016,Adidas,4870,Juniors,522,6.77,3.21,,
01/04/2016,Nike,2350,Home,2035,2.29,1.37,,
01/04/2016,Nike,4509,Home,883,5.60,3.47,,
01/04/2016,Adidas,3690,Juniors,557,6.74,3.36,,
01/04/2016,Nike,2650,Kids,719,5.33,2.69,,
01/04/2016,Adidas,2064,Mens,541,6.77,3.25,,
01/04/2016,Nike,3066,Home,1532,3.24,2.00,,
01/04/2016,Nike,2560,Hosiery,1025,3.51,1.64,,
01/04/2016,Nike,4558,Kids,892,5.38,3.22,,
01/04/2016,Nike,3550,Home,830,5.74,3.41,,
01/04/2016,Nike,2154,Home,885,5.31,3.12,,
01/04/2016,Adidas,3500,Juniors,583,6.72,3.35,,
01/04/2016,Nike,3175,Kids,723,5.61,2.89,,
01/04/2016,Nike,2020,Juniors,554,8.47,4.87,,
01/04/2016,Nike,2795,Home,699,7.03,4.18,,
01/04/2016,Nike,4068,Home,1798,2.87,1.76,,
01/04/2016,Nike,2480,Juniors,631,6.67,3.50,,
01/04/2016,Nike,6280,Home,4104,1.17,0.68,,
01/04/2016,Adidas,5168,Juniors,667,5.99,2.98,,
01/04/2016,Nike,2560,Home,1344,4.44,2.94,,
01/04/2016,Adidas,5169,Juniors,596,6.55,3.17,,
01/04/2016,Adidas,6112,Juniors,663,5.78,2.70,,
01/04/2016,Nike,4509,Home,3868,1.24,0.71,,
01/04/2016,Nike,3018,Kids,872,5.30,2.94,,
01/04/2016,Nike,3550,Kids,820,5.67,3.16,,
01/04/2016,Nike,3175,Groceries,4868,1.53,1.11,,
01/04/2016,Nike,4551,Mens,781,5.87,3.21,,
01/04/2016,Nike,2560,Kids,576,8.12,4.49,,
01/04/2016,Adidas,2750,Juniors,487,9.00,4.68,,
01/04/2016,Nike,2480,Mens,668,6.63,3.48,,
01/04/2016,Nike,6280,Mens,782,5.51,2.80,,
01/04/2016,Nike,3066,Kids,823,5.25,2.66,,
01/04/2016,Nike,3018,Home,4211,1.15,0.64,,
01/04/2016,Nike,4215,Home,5175,0.96,0.54,,
01/04/2016,Nike,3353,Kids,827,5.31,2.71,,
01/04/2016,Nike,3018,Mens,708,6.24,3.17,,
01/04/2016,Nike,2067,Home,1655,3.56,2.24,,
01/04/2016,Nike,4119,Home,945,5.57,3.25,,
01/04/2016,Nike,2541,Juniors,653,7.22,3.86,,
01/04/2016,Adidas,3280,Mens,594,7.63,3.92,,
01/04/2016,Adidas,4802,Juniors,475,9.81,5.16,,
01/04/2016,Nike,6280,Home,847,6.83,4.22,,
01/04/2016,Nike,2650,Home,1775,3.26,2.00,,
01/04/2016,Nike,2830,Shoes,287,18.74,10.94,,
01/04/2016,Nike,3550,Womens,894,6.10,3.59,,
01/04/2016,Nike,6330,Kids,766,6.72,3.75,,
01/04/2016,Nike,2795,Mens,556,7.97,3.85,,
01/04/2016,Adidas,4700,Juniors,676,6.64,3.22,,
01/04/2016,Adidas,2131,Juniors,815,5.79,2.95,,
01/04/2016,Nike,6280,Womens,836,6.62,3.85,,
01/04/2016,Nike,2830,Juniors,722,6.55,3.34,,
01/04/2016,Nike,2650,Home,674,7.95,4.51,,
01/04/2016,Adidas,6450,Juniors,756,5.90,2.83,,
01/04/2016,Nike,4215,Womens,729,7.26,4.07,,
01/04/2016,Nike,3353,Kids,880,5.82,3.16,,
01/04/2016,Nike,4509,Mens,780,7.16,4.16,,
01/04/2016,Nike,3148,Kids,891,5.84,3.19,,
01/04/2016,Nike,4119,Juniors,732,6.89,3.64,,
01/04/2016,Adidas,2158,Juniors,687,7.06,3.59,,
01/04/2016,Nike,4558,Mens,698,7.09,3.65,,
01/04/2016,Nike,3148,Home,843,7.47,4.61,,
01/04/2016,Adidas,2478,Mens,484,8.37,3.31,,
01/04/2016,Nike,4053,Juniors,699,7.19,3.68,,
01/04/2016,Nike,2800,Mens,758,6.60,3.36,,
01/04/2016,Nike,4558,Womens,736,6.95,3.60,,
01/04/2016,Adidas,6021,Juniors,668,7.22,3.52,,
01/04/2016,Nike,3148,Home,3814,1.55,0.90,,
01/04/2016,Nike,4215,Juniors,904,5.93,3.16,,
01/04/2016,Nike,2067,Mens,533,9.48,4.78,,
01/04/2016,Nike,2015,Juniors,881,6.00,3.15,,
01/04/2016,Nike,4119,Womens,786,6.65,3.45,,
01/04/2016,Nike,2031,Home,4984,1.14,0.63,,
01/04/2016,Nike,2154,Shoes,233,27.96,17.04,,
01/04/2016,Nike,2560,Kids,968,5.82,3.19,,
01/04/2016,Nike,4551,Womens,789,7.24,3.95,,
01/04/2016,Nike,4053,Home,5403,1.15,0.67,,
01/04/2016,Adidas,3136,Juniors,823,6.07,2.90,,
01/04/2016,Nike,2795,Juniors,918,5.86,3.02,,
01/04/2016,Nike,3550,Mens,786,7.30,3.97,,
01/04/2016,Nike,2800,Juniors,823,6.51,3.31,,
01/04/2016,Nike,3018,Womens,759,7.28,3.79,,
01/04/2016,Nike,4053,Womens,758,7.46,3.96,,
01/04/2016,Nike,2541,Womens,732,7.20,3.58,,
01/04/2016,Nike,2116,Womens,766,7.60,4.11,,
01/04/2016,Nike,2015,Womens,751,7.00,3.44,,
01/04/2016,Nike,2480,Womens,769,6.96,3.45,,
01/04/2016,Nike,3076,Womens,775,7.54,4.05,,
01/04/2016,Nike,4558,Home,1147,5.58,3.20,,
01/04/2016,Nike,2800,Home,5292,1.21,0.69,,
01/04/2016,Adidas,2790,Juniors,718,7.82,3.88,,
01/04/2016,Nike,2116,Juniors,890,6.82,3.63,,
01/04/2016,Nike,2350,Juniors,750,8.05,4.27,,
01/04/2016,Nike,4509,Womens,868,6.69,3.42,,
01/04/2016,Nike,2020,Womens,805,7.77,4.18,,
01/04/2016,Adidas,2539,Juniors,824,6.84,3.33,,
01/04/2016,Nike,2350,Womens,793,7.09,3.44,,
01/04/2016,Nike,2067,Shoes,303,21.99,12.41,,
01/04/2016,Nike,3550,Home,5344,1.24,0.70,,
01/04/2016,Nike,2067,Mens,769,7.63,3.83,,
01/04/2016,Nike,3175,Juniors,976,6.68,3.69,,
01/04/2016,Nike,2015,Mens,920,6.65,3.48,,
01/04/2016,Nike,3353,Juniors,884,6.86,3.55,,
01/04/2016,Nike,4119,Mens,858,7.12,3.69,,
01/04/2016,Nike,6330,Mens,853,7.11,3.64,,
01/04/2016,Nike,6330,Home,1568,4.42,2.53,,
01/04/2016,Nike,2830,Womens,840,7.12,3.58,,
01/04/2016,Nike,4119,Home,4656,1.48,0.84,,
01/04/2016,Nike,3353,Home,5870,1.19,0.68,,
01/04/2016,Nike,4558,Home,5937,1.14,0.64,,
01/04/2016,Nike,2650,Womens,881,7.53,4.11,,
01/04/2016,Nike,2560,Shoes,372,20.60,12.39,,
01/04/2016,Nike,2541,Mens,805,7.84,4.04,,
01/04/2016,Nike,6280,Juniors,1110,5.66,2.90,,
01/04/2016,Nike,3551,Juniors,1035,6.56,3.56,,
01/04/2016,Nike,3551,Womens,937,6.78,3.47,,
01/04/2016,Nike,2560,Home,4616,1.64,0.97,,
01/04/2016,Nike,4551,Home,6900,1.00,0.54,,
01/04/2016,Nike,3175,Home,1152,6.60,3.86,,
01/04/2016,Nike,2650,Juniors,802,8.19,4.25,,
01/04/2016,Nike,4068,Juniors,998,6.92,3.69,,
01/04/2016,Nike,2067,Juniors,779,9.08,4.90,,
01/04/2016,Nike,4551,Juniors,998,6.46,3.19,,
01/04/2016,Nike,2154,Womens,907,7.17,3.48,,
01/04/2016,Nike,3066,Womens,950,7.20,3.64,,
01/04/2016,Nike,6330,Womens,889,7.49,3.67,,
01/04/2016,Nike,3550,Juniors,1094,6.30,3.19,,
01/04/2016,Nike,4509,Juniors,1005,7.32,3.93,,
01/04/2016,Nike,4558,Juniors,1160,6.71,3.72,,
01/04/2016,Adidas,3280,Juniors,873,8.02,4.01,,
01/04/2016,Nike,2154,Juniors,982,7.46,3.89,,
01/04/2016,Nike,6330,Home,6550,1.22,0.68,,
01/04/2016,Nike,3148,Mens,926,7.14,3.31,,
01/04/2016,Nike,2795,Womens,944,7.22,3.45,,
01/04/2016,Nike,3018,Juniors,1076,6.91,3.59,,
01/04/2016,Nike,2560,Home,1340,6.47,3.77,,
01/04/2016,Nike,2031,Juniors,987,7.20,3.53,,
01/04/2016,Nike,3066,Mens,790,9.65,5.06,,
01/04/2016,Nike,4068,Womens,941,7.46,3.60,,
01/04/2016,Nike,2350,Mens,890,8.15,4.06,,
01/04/2016,Nike,3066,Juniors,1159,6.86,3.69,,
01/04/2016,Nike,3353,Mens,948,9.15,5.13,,
01/04/2016,Nike,3175,Mens,1012,9.05,5.20,,
01/04/2016,Nike,3353,Womens,1120,7.54,4.06,,
01/04/2016,Nike,6330,Juniors,1237,6.73,3.55,,
01/04/2016,Nike,3175,Womens,1166,7.08,3.63,,
01/04/2016,Nike,3175,Home,8447,1.11,0.63,,
01/04/2016,Nike,3148,Womens,1182,7.53,4.11,,
01/04/2016,Nike,2067,Womens,1052,7.87,4.01,,
01/04/2016,Nike,2154,Mens,1025,7.79,3.77,,
01/04/2016,Nike,3148,Juniors,1188,7.11,3.62,,
01/04/2016,Nike,2560,Juniors,1260,7.49,3.90,,
01/04/2016,Nike,2560,Womens,1240,7.25,3.55,,
01/04/2016,Nike,2650,Mens,1184,8.06,4.15,,
01/04/2016,Adidas,2478,Juniors,1193,7.44,3.55,,
01/04/2016,Nike,4068,Mens,1075,8.89,4.57,,
01/04/2016,Nike,2560,Mens,1129,8.65,4.26,,
01/05/2016,Nike,2830,Groceries,2920,0.80,0.89,,
01/05/2016,Nike,2015,Kids,254,3.15,4.06,,
01/05/2016,Nike,2067,Equipment,98,4.99,6.53,,
01/05/2016,Nike,2650,Kids,158,1.06,2.00,,
01/05/2016,Adidas,4825,Shoes,38,11.55,14.89,,
01/05/2016,Adidas,4570,Mens,51,1.63,4.04,,
01/05/2016,Nike,2116,Mens,52,3.63,5.87,,
01/05/2016,Nike,2560,Kids,577,1.87,2.06,,
01/05/2016,Nike,2617,Womens,14,3.00,10.25,,
01/05/2016,Nike,4558,Mens,52,4.19,6.05,,
01/05/2016,Adidas,6109,Shoes,57,15.30,16.99,,
01/05/2016,Nike,2350,Juniors,12,7.12,14.00,,
01/05/2016,Nike,2541,Kids,141,3.19,3.74,,
01/05/2016,Adidas,2131,Kids,48,4.75,6.36,,
01/05/2016,Nike,2350,Kids,508,1.83,1.96,,
01/05/2016,Nike,2800,Womens,9,3.00,10.25,,
01/05/2016,Adidas,4012,Shoes,26,15.61,17.79,,
01/05/2016,Adidas,6725,Kids,22,2.99,5.49,,
01/05/2016,Adidas,3630,Kids,19,6.00,8.88,,
01/05/2016,Nike,2795,Kids,378,1.85,1.99,,
01/05/2016,Nike,6330,Mens,73,4.85,5.56,,
01/05/2016,Nike,3148,Kids,116,3.53,3.97,,
01/05/2016,Adidas,5168,Kids,18,3.00,5.44,,
01/05/2016,Nike,2350,Kids,32,0.78,2.07,,
01/05/2016,Nike,4558,Juniors,69,8.28,8.86,,
01/05/2016,Adidas,5290,Kids,13,4.82,7.92,,
01/05/2016,Adidas,2750,Shoes,4,7.00,17.00,,
01/05/2016,Adidas,3977,Kids,15,3.80,6.47,,
01/05/2016,Adidas,5607,Kids,18,3.67,5.80,,
01/05/2016,Nike,2116,Kids,33,1.84,3.00,,
01/05/2016,Nike,4053,Home,-2,19.99,1.00,,
01/05/2016,Adidas,2609,Kids,34,2.29,3.40,,
01/05/2016,Adidas,2539,Accessories,5,4.59,12.13,,
01/05/2016,Adidas,6030,Mens,48,4.98,5.74,,
01/05/2016,Adidas,5169,Kids,21,1.93,3.67,,
01/05/2016,Nike,2795,Juniors,4,2.93,12.01,,
01/05/2016,Adidas,7018,Kids,20,3.80,5.62,,
01/05/2016,Adidas,2120,Kids,17,2.29,4.22,,
01/05/2016,Adidas,3931,Kids,12,4.33,7.02,,
01/05/2016,Nike,4558,Kids,41,2.22,3.00,,
01/05/2016,Adidas,3030,Kids,7,5.29,9.50,,
01/05/2016,Nike,3353,Juniors,3,3.00,12.00,,
01/05/2016,Adidas,3429,Kids,18,3.33,4.79,,
01/05/2016,Nike,3018,Juniors,50,8.47,8.99,,
01/05/2016,Nike,3076,Womens,13,3.15,5.13,,
01/05/2016,Adidas,6030,Kids,60,3.12,3.53,,
01/05/2016,Nike,3018,Mens,25,3.52,4.48,,
01/05/2016,Adidas,5290,Juniors,17,1.35,2.74,,
01/05/2016,Nike,3066,Groceries,3128,1.05,1.06,,
01/05/2016,Nike,2795,Kids,29,1.00,1.75,,
01/05/2016,Nike,2480,Juniors,38,6.14,6.66,,
01/05/2016,Nike,3018,Kids,30,2.33,2.99,,
01/05/2016,Nike,2031,Womens,16,3.69,4.91,,
01/05/2016,Nike,3353,Kids,25,1.00,1.75,,
01/05/2016,Nike,3148,Juniors,11,4.09,5.70,,
01/05/2016,Nike,4068,Kids,479,1.97,2.01,,
01/05/2016,Adidas,3136,Kids,5,6.60,10.00,,
01/05/2016,Nike,2031,Womens,4,3.99,8.13,,
01/05/2016,Nike,6280,Kids,16,1.99,3.00,,
01/05/2016,Nike,4068,Kids,147,3.66,3.77,,
01/05/2016,Nike,2015,Womens,29,3.27,3.82,,
01/05/2016,Nike,4053,Juniors,8,1.00,3.00,,
01/05/2016,Nike,3018,Womens,9,4.33,6.00,,
01/05/2016,Nike,4215,Kids,18,2.17,3.00,,
01/05/2016,Adidas,5607,Equipment,29,1.23,1.74,,
01/05/2016,Nike,4558,Shoes,56,4.74,5.00,,
01/05/2016,Nike,2800,Mens,18,4.78,5.56,,
01/05/2016,Adidas,2485,Juniors,11,3.26,4.50,,
01/05/2016,Nike,3550,Juniors,8,3.88,5.51,,
01/05/2016,Nike,4068,Juniors,2,7.00,13.50,,
01/05/2016,Nike,3076,Equipment,40,2.43,2.75,,
01/05/2016,Nike,2020,Mens,17,1.65,2.37,,
01/05/2016,Adidas,6052,Juniors,14,3.63,4.50,,
01/05/2016,Adidas,4305,Womens,8,2.75,4.16,,
01/05/2016,Adidas,5607,Womens,-1,13.99,2.74,,
01/05/2016,Nike,4558,Home,-1,9.99,-1.25,,
01/05/2016,Nike,6330,Juniors,13,9.45,10.31,,
01/05/2016,Nike,2830,Womens,6,2.67,4.50,,
01/05/2016,Adidas,4566,Kids,2,4.00,9.50,,
01/05/2016,Adidas,4655,Kids,40,2.90,3.17,,
01/05/2016,Nike,2560,Equipment,131,5.21,5.29,,
01/05/2016,Adidas,3179,Mens,15,4.40,5.10,,
01/05/2016,Nike,3018,Hosiery,12,0.13,1.01,,
01/05/2016,Adidas,5343,Kids,4,6.50,9.13,,
01/05/2016,Adidas,2131,Mens,-1,14.99,4.50,,
01/05/2016,Adidas,5343,Juniors,7,1.26,2.74,,
01/05/2016,Adidas,3931,Womens,9,3.44,4.58,,
01/05/2016,Adidas,2478,Womens,17,3.00,3.59,,
01/05/2016,Nike,3076,Womens,9,1.00,2.11,,
01/05/2016,Nike,3551,Juniors,4,13.50,16.00,,
01/05/2016,Nike,6330,Mens,33,1.99,2.29,,
01/05/2016,Adidas,6027,Kids,8,2.00,3.22,,
01/05/2016,Nike,4068,Womens,7,4.14,5.50,,
01/05/2016,Nike,4119,Mens,31,1.99,2.29,,
01/05/2016,Nike,4558,Mens,31,1.99,2.29,,
01/05/2016,Nike,3148,Womens,1,1.00,10.25,,
01/05/2016,Adidas,4700,Womens,9,1.44,2.47,,
01/05/2016,Adidas,4825,Juniors,10,3.59,4.50,,
01/05/2016,Adidas,6112,Accessories,11,7.08,7.90,,
01/05/2016,Nike,3551,Mens,-1,12.99,4.00,,
01/05/2016,Nike,2031,Kids,15,1.20,1.77,,
01/05/2016,Nike,4068,Mens,75,4.64,4.75,,
01/05/2016,Nike,4215,Womens,4,3.00,5.13,,
01/05/2016,Nike,2020,Womens,6,3.33,4.75,,
01/05/2016,Nike,2650,Kids,38,2.07,2.29,,
01/05/2016,Nike,3551,Womens,5,3.99,5.50,,
01/05/2016,Adidas,7018,Womens,10,1.00,1.75,,
01/05/2016,Nike,4558,Womens,-1,13.49,6.00,,
01/05/2016,Adidas,6027,Accessories,8,3.37,4.29,,
01/05/2016,Adidas,7018,Equipment,14,2.67,3.19,,
01/05/2016,Adidas,2478,Juniors,11,2.09,2.74,,
01/05/2016,Adidas,3977,Juniors,5,1.40,2.74,,
01/05/2016,Nike,3018,Equipment,3,1.66,3.75,,
01/05/2016,Adidas,6010,Juniors,7,1.86,2.74,,
01/05/2016,Nike,2350,Accessories,2,5.00,8.00,,
01/05/2016,Nike,2800,Accessories,2,5.00,8.00,,
01/05/2016,Nike,3066,Womens,2,1.00,4.00,,
01/05/2016,Nike,3175,Accessories,2,5.00,8.00,,
01/05/2016,Nike,3550,Womens,9,4.33,5.00,,
01/05/2016,Adidas,3977,Womens,11,2.45,3.00,,
01/05/2016,Adidas,5082,Womens,3,1.00,3.00,,
01/05/2016,Adidas,3030,Womens,4,1.25,2.74,,
01/05/2016,Adidas,4870,Accessories,2,3.00,5.90,,
01/05/2016,Nike,2020,Womens,6,4.00,4.92,,
01/05/2016,Nike,3175,Kids,63,2.08,2.17,,
01/05/2016,Adidas,6052,Kids,25,3.96,4.18,,
01/05/2016,Nike,4215,Mens,3,1.00,2.74,,
01/05/2016,Nike,6330,Juniors,4,3.50,4.75,,
01/05/2016,Nike,2800,Kids,8,2.38,3.01,,
01/05/2016,Nike,3175,Groceries,1,5.00,10.00,,
01/05/2016,Nike,4509,Accessories,2,1.00,3.50,,
01/05/2016,Adidas,7320,Juniors,-1,9.99,5.00,,
01/05/2016,Adidas,4566,Juniors,4,1.50,2.74,,
01/05/2016,Nike,2116,Groceries,81,0.99,1.05,,
01/05/2016,Nike,4551,Mens,-1,7.99,3.25,,
01/05/2016,Nike,2650,Kids,45,1.50,1.60,,
01/05/2016,Nike,3353,Womens,8,4.25,4.81,,
01/05/2016,Adidas,5343,Mens,4,5.00,6.13,,
01/05/2016,Nike,4558,Hosiery,6,0.25,1.00,,
01/05/2016,Adidas,6021,Kids,16,3.75,4.02,,
01/05/2016,Adidas,5168,Mens,-1,12.99,8.75,,
01/05/2016,Nike,3076,Mens,14,2.29,2.59,,
01/05/2016,Adidas,5011,Juniors,2,8.50,10.59,,
01/05/2016,Nike,3175,Kids,8,0.75,1.25,,
01/05/2016,Nike,2015,Equipment,8,1.00,1.50,,
01/05/2016,Adidas,4570,Womens,1,1.00,5.00,,
01/05/2016,Adidas,5168,Womens,3,1.67,3.00,,
01/05/2016,Nike,3148,Home,-1,4.99,1.00,,
01/05/2016,Adidas,7250,Kids,2,4.00,5.92,,
01/05/2016,Nike,2800,Womens,1,0.01,3.80,,
01/05/2016,Nike,6280,Womens,5,2.60,3.35,,
01/05/2016,Adidas,2539,Kids,3,2.33,3.54,,
01/05/2016,Adidas,870,Kids,17,1.71,1.92,,
01/05/2016,Nike,2480,Womens,1,3.00,6.50,,
01/05/2016,Adidas,6021,Juniors,2,1.00,2.74,,
01/05/2016,Nike,2015,Womens,9,2.78,3.16,,
01/05/2016,Nike,2116,Womens,1,1.00,4.35,,
01/05/2016,Adidas,2120,Juniors,3,1.63,2.74,,
01/05/2016,Adidas,4305,Equipment,-1,7.00,3.75,,
01/05/2016,Nike,4551,Equipment,1,0.50,3.75,,
01/05/2016,Adidas,3030,Mens,-1,4.99,1.75,,
01/05/2016,Adidas,2750,Juniors,3,1.67,2.74,,
01/05/2016,Adidas,4825,Kids,17,1.94,2.13,,
01/05/2016,Nike,2067,Kids,38,2.02,2.10,,
01/05/2016,Nike,2020,Juniors,1,10.00,13.00,,
01/05/2016,Nike,2560,Kids,1,1.00,4.00,,
01/05/2016,Nike,2560,Juniors,1,10.00,13.00,,
01/05/2016,Nike,3148,Equipment,6,1.00,1.50,,
01/05/2016,Nike,3550,Equipment,6,1.00,1.50,,
01/05/2016,Adidas,3630,Equipment,2,8.50,10.00,,
01/05/2016,Nike,4119,Juniors,10,5.20,5.50,,
01/05/2016,Nike,4119,Accessories,1,5.00,8.00,,
01/05/2016,Nike,4551,Juniors,1,15.00,18.00,,
01/05/2016,Adidas,5169,Equipment,13,2.23,2.46,,
01/05/2016,Nike,4068,Mens,26,2.69,2.80,,
01/05/2016,Nike,4551,Mens,44,3.40,3.46,,
01/05/2016,Adidas,4570,Kids,33,2.61,2.69,,
01/05/2016,Nike,6330,Juniors,1,1.00,3.75,,
01/05/2016,Adidas,4825,Mens,29,3.27,3.36,,
01/05/2016,Nike,3550,Kids,3,0.39,1.25,,
01/05/2016,Nike,2617,Juniors,9,1.22,1.50,,
01/05/2016,Adidas,2539,Juniors,1,1.00,3.40,,
